effect,term,estimate,std.error,statistic,p.value,sig
fixed,age_dev,0.893845702,0.426015324,2.098153871,0.035891555,TRUE
fixed,language_dev,0.77094518,0.425122077,1.813467761,0.069759707,FALSE
fixed,viewpoint_dev,0.000130421,0.25997524,0.000501667,0.999599728,FALSE
fixed,age_dev:language_dev,-0.702045636,0.849216058,-0.826698494,0.408407975,FALSE
fixed,age_dev:viewpoint_dev,1.633271736,0.522079831,3.128394624,0.00175764,TRUE
fixed,language_dev:viewpoint_dev,-0.10706573,0.52003283,-0.205882637,0.836882589,FALSE
fixed,age_dev:language_dev:viewpoint_dev,0.218734105,1.040121856,0.210296615,0.833436177,FALSE
fixed,(Intercept),-1.711225064,0.175341996,-9.759356607,1.68E-22,TRUE
fixed,age_dev,0.888916667,0.335388086,2.650412176,0.008039363,TRUE
fixed,language_dev,0.781188846,0.333692863,2.341041519,0.019230028,TRUE
fixed,viewpoint_dev,-0.136368521,0.254910473,-0.534966334,0.592673137,FALSE
fixed,age_dev:language_dev,-0.950860103,0.666182413,-1.427326938,0.15348568,FALSE
fixed,age_dev:viewpoint_dev,1.137459647,0.510525974,2.228015232,0.025879499,TRUE
fixed,language_dev:viewpoint_dev,0.708796888,0.509781145,1.390394475,0.164409123,FALSE
fixed,age_dev:language_dev:viewpoint_dev,0.014235126,1.019152432,0.013967612,0.98885582,FALSE
fixed,(Intercept),-1.801057537,0.179516201,-10.03284119,1.09E-23,TRUE
fixed,age_dev,1.437925511,0.348086477,4.130943327,3.61E-05,TRUE
fixed,language_dev,0.83313401,0.348468094,2.390847322,0.016809541,TRUE
fixed,viewpoint_dev,-0.27514811,0.287724112,-0.956291455,0.338925006,FALSE
fixed,age_dev:language_dev,-1.320730307,0.695754082,-1.898271733,0.057660296,FALSE
fixed,age_dev:viewpoint_dev,0.904299771,0.575522412,1.571267691,0.116120483,FALSE
fixed,language_dev:viewpoint_dev,0.306917268,0.575449844,0.533351901,0.593790006,FALSE
fixed,age_dev:language_dev:viewpoint_dev,-0.087385038,1.151003275,-0.075920755,0.939482144,FALSE
fixed,(Intercept),-1.885323062,0.177434578,-10.62545465,2.27E-26,TRUE
fixed,age_dev,1.238504573,0.339664756,3.646255757,0.000266089,TRUE
fixed,language_dev,0.674172817,0.339714535,1.984527438,0.047197072,TRUE
fixed,viewpoint_dev,-0.255717721,0.275290096,-0.92890273,0.352939498,FALSE
fixed,age_dev:language_dev,-0.959929768,0.679194675,-1.413335238,0.157557178,FALSE
fixed,age_dev:viewpoint_dev,0.704499592,0.550579272,1.279560687,0.200699683,FALSE
fixed,language_dev:viewpoint_dev,0.379639454,0.550640784,0.689450301,0.490539939,FALSE
fixed,age_dev:language_dev:viewpoint_dev,1.560356343,1.10186722,1.416101972,0.156745651,FALSE
fixed,(Intercept),-1.848644671,0.195378671,-9.461855092,3.03E-21,TRUE
fixed,age_dev,1.072557219,0.377833089,2.838706429,0.004529681,TRUE
fixed,language_dev,1.051516804,0.377900179,2.782525289,0.005393766,TRUE
fixed,viewpoint_dev,-0.55019486,0.327588851,-1.679528649,0.09304906,FALSE
fixed,age_dev:language_dev,-2.28901148,0.758036485,-3.019658717,0.002530597,TRUE
fixed,age_dev:viewpoint_dev,1.101044129,0.65513112,1.680646965,0.092831508,FALSE
